FIN_YEARS_DESCR;Legend_Descr;ESKOM_OCGT_IPP
202104 / 202204;2021-22 Total (Eskom+IPP);215,90000000000001
202104 / 202204;2022-23 Total (Eskom+IPP);327,10000000000002
202105 / 202205;2022-23 Total (Eskom+IPP);332,89999999999998
202105 / 202205;2021-22 Total (Eskom+IPP);338,30000000000001
202106 / 202206;2021-22 Total (Eskom+IPP);318,30000000000001
202106 / 202206;2022-23 Total (Eskom+IPP);433,19999999999999
202107 / 202207;2021-22 Total (Eskom+IPP);162,5
202107 / 202207;2022-23 Total (Eskom+IPP);259,30000000000001
202108 / 202208;2022-23 Total (Eskom+IPP);254,5
202108 / 202208;2021-22 Total (Eskom+IPP);121
202109 / 202209;2022-23 Total (Eskom+IPP);488,80000000000001
202109 / 202209;2021-22 Total (Eskom+IPP);78,200000000000003
202110 / 202210;2022-23 Total (Eskom+IPP);380,69999999999999
202110 / 202210;2021-22 Total (Eskom+IPP);429,19999999999999
202111 / 202211;2022-23 Total (Eskom+IPP);203,30000000000001
202111 / 202211;2021-22 Total (Eskom+IPP);306,39999999999998
202112 / 202212;2021-22 Total (Eskom+IPP);165,19999999999999
202112 / 202212;2022-23 Total (Eskom+IPP);352,69999999999999
202201 / 202301;2022-23 Total (Eskom+IPP);392,60000000000002
202201 / 202301;2021-22 Total (Eskom+IPP);158,90000000000001
202202 / 202302;2021-22 Total (Eskom+IPP);219,30000000000001
202202 / 202302;2022-23 Total (Eskom+IPP);329,89999999999998
202203 / 202303;2021-22 Total (Eskom+IPP);211,90000000000001
202203 / 202303;2022-23 Total (Eskom+IPP);0
