Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2022-12-30 To Thursday 2023-01-05;14500; to 15000;3,000000;5;From_14500 To_15000
Friday 2023-01-06 To Thursday 2023-01-12;15000; to 15500;7,000000;11;From_15000 To_15500
Friday 2022-12-30 To Thursday 2023-01-05;15000; to 15500;15,000000;25;From_15000 To_15500
Friday 2023-01-06 To Thursday 2023-01-12;15500; to 16000;7,000000;11;From_15500 To_16000
Friday 2022-12-30 To Thursday 2023-01-05;15500; to 16000;8,000000;13;From_15500 To_16000
Friday 2023-01-06 To Thursday 2023-01-12;16000; to 16500;11,000000;18;From_16000 To_16500
Friday 2022-12-30 To Thursday 2023-01-05;16000; to 16500;14,000000;24;From_16000 To_16500
Friday 2023-01-06 To Thursday 2023-01-12;16500; to 17000;18,000000;30;From_16500 To_17000
Friday 2022-12-30 To Thursday 2023-01-05;16500; to 17000;24,000000;40;From_16500 To_17000
Friday 2022-12-30 To Thursday 2023-01-05;17000; to 17500;19,000000;32;From_17000 To_17500
Friday 2023-01-06 To Thursday 2023-01-12;17000; to 17500;24,000000;41;From_17000 To_17500
Friday 2023-01-06 To Thursday 2023-01-12;17500; to 18000;13,000000;22;From_17500 To_18000
Friday 2022-12-30 To Thursday 2023-01-05;17500; to 18000;13,000000;22;From_17500 To_18000
Friday 2022-12-30 To Thursday 2023-01-05;18000; to 18500;4,000000;7;From_18000 To_18500
Friday 2023-01-06 To Thursday 2023-01-12;18000; to 18500;7,000000;11;From_18000 To_18500
